date,visitors,signups,application_starts,document_upload_successes,submissions,revenue_usd,returning_users,retained_7d_users,quality_defects,support_tickets,api_failures,signup_rate_pct,application_start_rate_pct,upload_success_rate_pct,submission_rate_pct,retention_7d_pct,quality_defect_rate_pct
2026-08-01,1168,272,188,135,61,2547.45,268,146,9,16,16,23.29,69.12,71.81,45.19,54.48,0.771
2026-08-02,1131,212,149,114,64,3169.04,258,150,11,13,13,18.74,70.28,76.51,56.14,58.14,0.973
2026-08-03,1310,287,199,136,61,2434.9,352,209,10,9,36,21.91,69.34,68.34,44.85,59.38,0.763
2026-08-04,1216,231,163,117,60,2715.89,213,96,3,26,15,19.0,70.56,71.78,51.28,45.07,0.247
2026-08-05,1296,252,159,111,56,2691.73,262,139,4,22,50,19.44,63.1,69.81,50.45,53.05,0.309
2026-08-06,1349,302,184,120,59,2733.53,236,122,4,16,44,22.39,60.93,65.22,49.17,51.69,0.297
2026-08-07,1290,238,162,118,66,2909.78,254,148,7,19,39,18.45,68.07,72.84,55.93,58.27,0.543
2026-08-08,1337,288,181,120,72,2873.91,367,186,10,26,42,21.54,62.85,66.3,60.0,50.68,0.748
2026-08-09,1402,316,215,163,100,5064.71,338,188,11,20,42,22.54,68.04,75.81,61.35,55.62,0.785
2026-08-10,1303,289,205,139,75,3811.26,226,126,11,26,49,22.18,70.93,67.8,53.96,55.75,0.844
2026-08-11,1348,319,206,164,97,4119.34,352,150,10,10,36,23.66,64.58,79.61,59.15,42.61,0.742
2026-08-12,1352,249,168,118,67,2607.3,276,145,8,20,38,18.42,67.47,70.24,56.78,52.54,0.592
2026-08-13,1341,275,193,139,73,3786.13,228,104,4,10,16,20.51,70.18,72.02,52.52,45.61,0.298
2026-08-14,1389,279,191,137,72,3368.53,369,227,11,14,35,20.09,68.46,71.73,52.55,61.52,0.792
2026-08-15,1426,277,164,116,57,2402.45,279,119,3,21,16,19.42,59.21,70.73,49.14,42.65,0.21
2026-08-16,1522,309,208,142,86,4214.76,273,137,10,21,42,20.3,67.31,68.27,60.56,50.18,0.657
2026-08-17,1459,316,190,155,75,3839.87,352,190,4,16,22,21.66,60.13,81.58,48.39,53.98,0.274
2026-08-18,1418,325,224,169,82,3710.96,334,175,5,25,35,22.92,68.92,75.45,48.52,52.4,0.353
2026-08-19,1578,298,206,141,68,3095.2,371,198,4,18,57,18.88,69.13,68.45,48.23,53.37,0.253
2026-08-20,1518,298,192,126,74,2848.7,313,189,4,22,15,19.63,64.43,65.62,58.73,60.38,0.264
2026-08-21,1602,293,191,155,72,3637.64,447,193,5,10,32,18.29,65.19,81.15,46.45,43.18,0.312
2026-08-22,1585,337,236,182,98,4915.12,312,140,11,20,55,21.26,70.03,77.12,53.85,44.87,0.694
2026-08-23,1594,375,223,171,82,4128.12,439,225,9,17,22,23.53,59.47,76.68,47.95,51.25,0.565
2026-08-24,1630,315,222,144,78,3790.25,323,148,3,16,47,19.33,70.48,64.86,54.17,45.82,0.184
2026-08-25,1639,357,234,183,85,4135.62,376,230,7,11,24,21.78,65.55,78.21,46.45,61.17,0.427
2026-08-26,1627,322,218,144,79,3384.55,387,166,4,21,63,19.79,67.7,66.06,54.86,42.89,0.246
2026-08-27,1606,332,222,166,85,3308.1,418,206,5,18,48,20.67,66.87,74.77,51.2,49.28,0.311
2026-08-28,1621,307,198,160,74,3696.96,369,215,6,9,53,18.94,64.5,80.81,46.25,58.27,0.37
2026-08-29,1697,372,229,185,88,3876.64,464,233,6,13,55,21.92,61.56,80.79,47.57,50.22,0.354
2026-08-30,1762,350,218,168,96,3917.28,467,262,4,22,42,19.86,62.29,77.06,57.14,56.1,0.227
